# BAR0 Diff: before/after L2 table ops
# Changed: 480 registers

Offset     Before       After        XOR         
0x2c968    0xb10002c5   0xb0c002c5   0x01c00000
0x2cd64    0x0404a7f8   0x0404a810   0x00000fe8
0x2cd68    0x0404a7f8   0x0404a810   0x00000fe8
0x2ce40    0xb14002c6   0xb10002c6   0x00400000
0x2ce44    0xb10002c7   0xb10002c5   0x00000002
0x2d7c4    0x00000001   0x00000000   0x00000001
0x2dfc4    0x00000001   0x00000000   0x00000001
0x2e7c4    0x00000001   0x00000000   0x00000001
0x2efc4    0x00000001   0x00000000   0x00000001
0x30000    0x20500600   0x38500000   0x18000600
0x30004    0x00000000   0x40a0060c   0x40a0060c
0x30010    0x04007f40   0x00000001   0x04007f41
0x30014    0x00000000   0x00000060   0x00000060
0x30028    0x13003fa0   0xffffffff   0xecffc05f
0x3002c    0x00010000   0xffffffff   0xfffeffff
0x30090    0xb18002c8   0xb14002c8   0x00c00000
0x30094    0xb28002ce   0xb28002cc   0x00000002
0x30114    0x045e1058   0x045e10d8   0x00000080
0x30410    0x00000003   0x00000000   0x00000003
0x30800    0x20500600   0x38500000   0x18000600
0x30804    0x00000000   0x40a0060c   0x40a0060c
0x30810    0x04007f40   0x00000001   0x04007f41
0x30814    0x00000000   0x00000060   0x00000060
0x30828    0x13003fa0   0xffffffff   0xecffc05f
0x3082c    0x00010000   0xffffffff   0xfffeffff
0x30960    0xb14002c8   0xb14002c7   0x0000000f
0x30964    0xb24002cb   0xb20002ca   0x00400001
0x30968    0xb10002c6   0xb0c002c5   0x01c00003
0x30d64    0x0404a7f8   0x0404a810   0x00000fe8
0x30d68    0x0404a7f8   0x0404a810   0x00000fe8
0x30e40    0xb14002c6   0xb10002c5   0x00400003
0x317c0    0x00000000   0x00000003   0x00000003
0x31fc0    0x00000000   0x00000003   0x00000003
0x327c0    0x00000000   0x00000003   0x00000003
0x32fc0    0x00000000   0x00000003   0x00000003
0x34000    0x20500600   0x38500000   0x18000600
0x34004    0x00000000   0x40a0060c   0x40a0060c
0x34010    0x04007f40   0x00000001   0x04007f41
0x34014    0x00000000   0x00000060   0x00000060
0x34028    0x13003fa0   0xffffffff   0xecffc05f
0x3402c    0x00010000   0xffffffff   0xfffeffff
0x34090    0xb18002c8   0xb14002c8   0x00c00000
0x34094    0xb28002ce   0xb28002cd   0x00000003
0x34114    0x045e1058   0x045e10d8   0x00000080
0x34410    0x00000003   0x00000000   0x00000003
0x34800    0x20500600   0x38500000   0x18000600
0x34804    0x00000000   0x40a0060c   0x40a0060c
0x34810    0x04007f40   0x00000001   0x04007f41
0x34814    0x00000000   0x00000060   0x00000060
0x34828    0x13003fa0   0xffffffff   0xecffc05f
0x3482c    0x00010000   0xffffffff   0xfffeffff
0x3495c    0xb14002c8   0xb14002c6   0x0000000e
0x34960    0xb14002c8   0xb14002c6   0x0000000e
0x34964    0xb24002ca   0xb20002ca   0x00400000
0x34968    0xb10002c6   0xb0c002c5   0x01c00003
0x34d64    0x0404a7f8   0x0404a810   0x00000fe8
0x34d68    0x0404a7f8   0x0404a810   0x00000fe8
0x34e40    0xb14002c6   0xb10002c6   0x00400000
0x357c0    0x00000000   0x00000003   0x00000003
0x35fc0    0x00000000   0x00000003   0x00000003
0x367c0    0x00000000   0x00000003   0x00000003
0x36fc0    0x00000000   0x00000003   0x00000003
0x38000    0x20500600   0x38500000   0x18000600
0x38004    0x00000000   0x40a0060c   0x40a0060c
0x38010    0x04007f40   0x00000001   0x04007f41
0x38014    0x00000000   0x00000060   0x00000060
0x38028    0x13003fa0   0xffffffff   0xecffc05f
0x3802c    0x00010000   0xffffffff   0xfffeffff
0x38090    0xb18002c8   0xb14002c7   0x00c0000f
0x38094    0xb28002ce   0xb28002cd   0x00000003
0x38114    0x045e1058   0x045e10d8   0x00000080
0x38410    0x00000003   0x00000000   0x00000003
0x38800    0x20500600   0x38500000   0x18000600
0x38804    0x00000000   0x40a0060c   0x40a0060c
0x38810    0x04007f40   0x00000001   0x04007f41
0x38814    0x00000000   0x00000060   0x00000060
0x38828    0x13003fa0   0xffffffff   0xecffc05f
0x3882c    0x00010000   0xffffffff   0xfffeffff
0x3895c    0xb14002c8   0xb14002c6   0x0000000e
0x38964    0xb24002cb   0xb20002ca   0x00400001
0x38968    0xb10002c6   0xb0c002c5   0x01c00003
0x38d64    0x0404a7f8   0x0404a810   0x00000fe8
0x38d68    0x0404a7f8   0x0404a810   0x00000fe8
0x38e40    0xb14002c6   0xb10002c6   0x00400000
0x397c0    0x00000000   0x00000003   0x00000003
0x39fc0    0x00000000   0x00000003   0x00000003
0x3a2e4    0x0000018c   0x00000058   0x000001d4
0x3a2ec    0x00000182   0x00000058   0x000001da
0x3a2f4    0x000001a7   0x00000058   0x000001ff
0x3a2fc    0x000001a4   0x00000058   0x000001fc
0x3a304    0x00000167   0x00000058   0x0000013f
0x3a7c4    0x00000000   0x00000001   0x00000001
0x3afc4    0x00000000   0x00000001   0x00000001
0x3c000    0x20500600   0x38500000   0x18000600
0x3c004    0x00000000   0x40a0060c   0x40a0060c
0x3c010    0x04007f40   0x00000001   0x04007f41
0x3c014    0x00000000   0x00000060   0x00000060
0x3c028    0x13003fa0   0xffffffff   0xecffc05f
0x3c02c    0x00010000   0xffffffff   0xfffeffff
0x3c090    0xb18002c8   0xb14002c8   0x00c00000
0x3c094    0xb28002ce   0xb28002cc   0x00000002
0x3c114    0x045e1058   0x045e10d8   0x00000080
0x3c410    0x00000003   0x00000000   0x00000003
0x3c800    0x20500600   0x38500000   0x18000600
0x3c804    0x00000000   0x40a0060c   0x40a0060c
0x3c810    0x04007f40   0x00000001   0x04007f41
0x3c814    0x00000000   0x00000060   0x00000060
0x3c828    0x13003fa0   0xffffffff   0xecffc05f
0x3c82c    0x00010000   0xffffffff   0xfffeffff
0x3c960    0xb14002c8   0xb14002c6   0x0000000e
0x3c964    0xb24002cb   0xb20002ca   0x00400001
0x3c968    0xb10002c6   0xb0c002c5   0x01c00003
0x3cd64    0x0404a7f8   0x0404a810   0x00000fe8
0x3cd68    0x0404a7f8   0x0404a810   0x00000fe8
0x3ce40    0xb14002c6   0xb10002c6   0x00400000
0x3d7c4    0x00000000   0x00000001   0x00000001
0x3dfc4    0x00000000   0x00000001   0x00000001
0x3e7c4    0x00000000   0x00000001   0x00000001
0x3efc4    0x00000000   0x00000001   0x00000001
