# Block-id-related strings

  @ 113c94c0  ""CMIC_SBUS_RING_MAP_0_7""
  @ 113c94d8  ""CMIC_SBUS_RING_MAP_8_15""
  @ 113c94f0  ""CMIC_SBUS_RING_MAP_16_23""
  @ 113c950c  ""CMIC_SBUS_RING_MAP_24_31""
  @ 113c9528  ""CMIC_SBUS_RING_MAP_32_39""
  @ 113c9544  ""CMIC_SBUS_RING_MAP_40_47""
  @ 113c9560  ""CMIC_SBUS_RING_MAP_48_55""
  @ 113c957c  ""CMIC_SBUS_RING_MAP_56_63""
  @ 113c9598  ""CMIC_STAT_DMA_PORT_TYPE_MAP_0""
  @ 113c95b8  ""CMIC_STAT_DMA_PORT_TYPE_MAP_1""
  @ 113c95d8  ""CMIC_STAT_DMA_PORT_TYPE_MAP_2""
  @ 113c95f8  ""CMIC_STAT_DMA_BLKNUM_MAP_4_0""
  @ 113c9618  ""CMIC_STAT_DMA_BLKNUM_MAP_9_5""
  @ 113c9638  ""CMIC_STAT_DMA_BLKNUM_MAP_14_10""
  @ 113c9658  ""CMIC_STAT_DMA_BLKNUM_MAP_19_15""
  @ 113c9678  ""CMIC_STAT_DMA_BLKNUM_MAP_24_20""
  @ 113c9698  ""CMIC_STAT_DMA_BLKNUM_MAP_29_25""
  @ 113c96b8  ""CMIC_STAT_DMA_BLKNUM_MAP_34_30""
  @ 113c96d8  ""CMIC_STAT_DMA_BLKNUM_MAP_39_35""
  @ 113c96f8  ""CMIC_STAT_DMA_BLKNUM_MAP_44_40""
  @ 113c9718  ""CMIC_STAT_DMA_BLKNUM_MAP_49_45""
  @ 113c9738  ""CMIC_STAT_DMA_BLKNUM_MAP_54_50""
  @ 113c9758  ""CMIC_STAT_DMA_BLKNUM_MAP_59_55""
  @ 113c9778  ""CMIC_STAT_DMA_BLKNUM_MAP_64_60""
  @ 113c9798  ""CMIC_STAT_DMA_BLKNUM_MAP_69_65""
  @ 113c97b8  ""CMIC_STAT_DMA_BLKNUM_MAP_74_70""
  @ 113c97d8  ""CMIC_STAT_DMA_BLKNUM_MAP_79_75""
  @ 113c97f8  ""CMIC_STAT_DMA_BLKNUM_MAP_84_80""
  @ 113c9818  ""CMIC_STAT_DMA_BLKNUM_MAP_89_85""
  @ 113c9838  ""CMIC_STAT_DMA_BLKNUM_MAP_94_90""
  @ 113c9858  ""CMIC_STAT_DMA_BLKNUM_MAP_95""
  @ 113c9874  ""CMIC_STAT_DMA_ING_STATS_CFG""
  @ 113c9890  ""CMIC_STAT_DMA_EGR_STATS_CFG""
  @ 113c98ac  ""CMIC_STAT_DMA_MAC_STATS_CFG""
  @ 113c98c8  ""CMIC_STAT_DMA_PORTNUM_MAP_3_0""
  @ 113c98e8  ""CMIC_STAT_DMA_PORTNUM_MAP_7_4""
  @ 113c9908  ""CMIC_STAT_DMA_PORTNUM_MAP_11_8""
  @ 113c9928  ""CMIC_STAT_DMA_PORTNUM_MAP_15_12""
  @ 113c9948  ""CMIC_STAT_DMA_PORTNUM_MAP_19_16""
  @ 113c9968  ""CMIC_STAT_DMA_PORTNUM_MAP_23_20""
  @ 113c9988  ""CMIC_STAT_DMA_PORTNUM_MAP_27_24""
  @ 113c99a8  ""CMIC_STAT_DMA_PORTNUM_MAP_31_28""
  @ 113c99c8  ""CMIC_STAT_DMA_PORTNUM_MAP_35_32""
  @ 113c99e8  ""CMIC_STAT_DMA_PORTNUM_MAP_39_36""
  @ 113c9a08  ""CMIC_STAT_DMA_PORTNUM_MAP_43_40""
  @ 113c9a28  ""CMIC_STAT_DMA_PORTNUM_MAP_47_44""
  @ 113c9a48  ""CMIC_STAT_DMA_PORTNUM_MAP_51_48""
  @ 113c9a68  ""CMIC_STAT_DMA_PORTNUM_MAP_55_52""
  @ 113c9a88  ""CMIC_STAT_DMA_PORTNUM_MAP_59_56""
