# Packet DMA / DCB / HiGig related strings

  "DLB HGT member override bitmap"                        @ 113ea2b8  in FUN_109ce8c0
  "DLB HGT member override bitmap"                        @ 113ea2b8  in FUN_109cf59c
  "Block of DLB_HGT_FLOWSET entries"                      @ 113ea2f0  in FUN_109cf59c
  "Unit %d - HG Trunk hash_value=%d\n"                    @ 113ecc90  in FUN_10a6f158
  "Unit %d - HGT RH hash_sub_sel=%d, hash_offset=%d, conc @ 113ecd18  in FUN_10a6fffc
  "Unit %d - HGT RH hash_value=%d\n"                      @ 113ecd58  in FUN_10a6fffc
  "Unit %d - HGT DLB hash_sub_sel=%d, hash_offset=%d, con @ 113ecd78  in FUN_10a70620
  "Unit %d - HGT DLB hash_value=%d\n"                     @ 113ecdb8  in FUN_10a70620
  "Unit %d: DLB HGT flowset *resolved_member=%d\n"        @ 113ecf5c  in FUN_10a72158
  "\tHG Trunk HW index 0x%08x\n"                          @ 113ed158  in FUN_10a74908
  "\tHG Trunk group size 0x%08x\n"                        @ 113ed174  in FUN_10a74908
  "\tHG-Trunk Hash value 0x%08x\n"                        @ 113ed374  in FUN_10a74e50
  "\tHG-Trunk RH Hash value 0x%08x\n"                     @ 113ed394  in FUN_10a74e50
  "\tHG-Trunk DLB Hash value 0x%08x\n"                    @ 113ed3b4  in FUN_10a74e50
  "        Index RefCount EntriesPerSet - COS HG_COS\n"   @ 113ee624  in FUN_10aecea0
  "        Index RefCount EntriesPerSet - COS HG_COS\n"   @ 113f4d14  in FUN_10c1f178
  "Unit %d - HG Trunk hash_value=%d\n"                    @ 113fdedc  in FUN_10d8c568
  "\tHG Trunk HW index 0x%08x\n"                          @ 113fe004  in FUN_10d8da64
  "\tHG Trunk group size 0x%08x\n"                        @ 113fe020  in FUN_10d8da64
  "\tHG-Trunk Hash value 0x%08x\n"                        @ 113fe1e4  in FUN_10d8dd54
  "higig_max_speed"                                       @ 11403b84  in FUN_10e414f4
  "higig_max_speed"                                       @ 11403b84  in FUN_10e414f4
  "%sPKT DMA: dcb=t%d tpkt=%u tbyt=%u rpkt=%u rbyt=%u\n"  @ 11405ef0  in FUN_10e7b654
  "\tHG ports\t%d\t%s (%d:%d)\n"                          @ 11406388  in FUN_10e7c1d8
  "HiGig2"                                                @ 11406f88  in FUN_10e98624
  "HiGig2"                                                @ 11406f88  in ?
  "HiGig2_L2"                                             @ 11406f90  in ?
  "HiGig2_IP_GRE"                                         @ 11406f9c  in ?
