# BCM SDK Register Name Table extracted from switchd
# Table base: 11bcac14
# 36896 valid entries, 0 null/skipped, scanned 36896 slots

# reg_id  | name
# --------+----------------------
0x013e   AXIIC_AMAC_M0_MAX_OT
0x013f   AXIIC_AMAC_M0_QOS_CNTL
0x0140   AXIIC_AMAC_M0_QOS_RANGE
0x0141   AXIIC_AMAC_M0_READ_QOS
0x0142   AXIIC_AMAC_M0_TGT_LATENCY
0x0143   AXIIC_AMAC_M0_WRITE_QOS
0x0144   AXIIC_AMAC_M1_AR_B
0x0145   AXIIC_AMAC_M1_AR_P
0x0146   AXIIC_AMAC_M1_AR_R
0x0147   AXIIC_AMAC_M1_AW_B
0x0148   AXIIC_AMAC_M1_AW_P
0x0149   AXIIC_AMAC_M1_AW_R
0x014a   AXIIC_AMAC_M1_FN_MOD
0x014b   AXIIC_AMAC_M1_KI
0x014c   AXIIC_AMAC_M1_MAX_COMB_OT
0x014d   AXIIC_AMAC_M1_MAX_OT
0x014e   AXIIC_AMAC_M1_QOS_CNTL
0x014f   AXIIC_AMAC_M1_QOS_RANGE
0x0150   AXIIC_AMAC_M1_READ_QOS
0x0151   AXIIC_AMAC_M1_TGT_LATENCY
0x0152   AXIIC_AMAC_M1_WRITE_QOS
0x0153   AXIIC_APBV_S0_SECURITY
0x0154   AXIIC_APBW_S0_SECURITY
0x0155   AXIIC_APBX_S0_SECURITY
0x0156   AXIIC_APBY_S0_SECURITY
0x0157   AXIIC_APBZ_S0_SECURITY
0x0158   AXIIC_CMCID_M0_AR_B
0x0159   AXIIC_CMCID_M0_AR_P
0x015a   AXIIC_CMCID_M0_AR_R
0x015b   AXIIC_CMCID_M0_AW_B
0x015c   AXIIC_CMCID_M0_AW_P
0x015d   AXIIC_CMCID_M0_AW_R
0x015e   AXIIC_CMCID_M0_FN_MOD
0x015f   AXIIC_CMCID_M0_KI
0x0160   AXIIC_CMCID_M0_MAX_COMB_OT
0x0161   AXIIC_CMCID_M0_MAX_OT
0x0162   AXIIC_CMCID_M0_QOS_CNTL
0x0163   AXIIC_CMCID_M0_QOS_RANGE
0x0164   AXIIC_CMCID_M0_READ_QOS
0x0165   AXIIC_CMCID_M0_TGT_LATENCY
0x0166   AXIIC_CMCID_M0_WRITE_QOS
0x0167   AXIIC_CMICD_S0_FN_MOD_BM_ISS
0x0168   AXIIC_COMPONENT_ID0
0x0169   AXIIC_COMPONENT_ID1
0x016a   AXIIC_COMPONENT_ID2
0x016b   AXIIC_COMPONENT_ID3
0x016c   AXIIC_DDR_S1_FN_MOD_BM_ISS
0x016d   AXIIC_DDR_S2_FN_MOD_BM_ISS
0x016e   AXIIC_DMA_M0_AR_B
0x016f   AXIIC_DMA_M0_AR_P
0x0170   AXIIC_DMA_M0_AR_R
0x0171   AXIIC_DMA_M0_AW_B
0x0172   AXIIC_DMA_M0_AW_P
0x0173   AXIIC_DMA_M0_AW_R
0x0174   AXIIC_DMA_M0_FN_MOD
0x0175   AXIIC_DMA_M0_KI
0x0176   AXIIC_DMA_M0_MAX_COMB_OT
0x0177   AXIIC_DMA_M0_MAX_OT
0x0178   AXIIC_DMA_M0_QOS_CNTL
0x0179   AXIIC_DMA_M0_QOS_RANGE
0x017a   AXIIC_DMA_M0_READ_QOS
0x017b   AXIIC_DMA_M0_TGT_LATENCY
0x017c   AXIIC_DMA_M0_WRITE_QOS
0x017d   AXIIC_DS_0_IDM_ERROR_LOG_ADDR_LSB
0x017e   AXIIC_DS_0_IDM_ERROR_LOG_COMPLETE
0x017f   AXIIC_DS_0_IDM_ERROR_LOG_CONTROL
0x0180   AXIIC_DS_0_IDM_ERROR_LOG_FLAGS
0x0181   AXIIC_DS_0_IDM_ERROR_LOG_ID
