# Interesting strings from switchd
0x113415a4    "BfdUnknownVersion"
0x113415b8    "BfdInvalidVersion"
0x11341b24    "RXAUI"
0x113424b8    "%s port %s: ERROR: bcm_port_rate_ingress_get: %s\n"
0x11342550    "%s port %s: ERROR: bcm_port_rate_egress_get: %s\n"
0x113425b4    "%s: ERROR: bcm_port_rate_ingress_set: %s\n"
0x113425e0    "%s: ERROR: bcm_port_rate_pause_set: %s\n"
0x11342608    "%s: ERROR: bcm_port_rate_egress_set: %s\n"
0x11342658    "%s port %s: ERROR: bcm_port_sample_rate_get: %s\n"
0x113426fc    "%s port %s: ERROR: bcm_port_sample_rate_set: %s\n"
0x11342e6c    "Tx events = %d TX Duration = %d(us) RX events = %d RX Duration = %d(us)\n"
0x113436b4    "bcm_linkscan_interval"
0x11343c10    "Test should be : 1 (HYB_CANC), 2 (DENC), 3 (TX_ON) or 0 (EXIT)\n"
0x11344020    "ERROR, in phy_diag_eyescan: failed to allocate results"
0x1134412c    "ERROR, in phy_diag_eyescan: lane num is wrong \n"
0x1134415c    "ERROR, in phy_diag_eyescan: sample time %d greater than upper bound time %d\n"
0x11344a18    "bcm_port_control_phy_timesync_get failed with error  u=%d p=%d %s\n"
0x11344c34    "Port %s Tx events = %d TX Duration = %d RX events = %d RX Duration = %d\n"
0x11344d70    "Phy control get: BCM_PORT_PHY_CONTROL_EEE_AUTO failed\n"
0x11344da8    "Phy control get: BCM_PORT_PHY_CONTROL_EEE failed\n"
0x11344f80    "bcm_port_phy_timesync_config_get() failed, u=%d, p=%d\n"
0x11344fb8    "bcm_port_phy_timesync_config_set() failed, u=%d, p=%d\n"
0x11344ff0    "bcm_port_control_phy_timesync_set failed with error  u=%d p=%d %s\n"
0x113453e0    "bcm_port_config_phy_oam_get() failed, u=%d, p=%d\n"
0x11345438    "bcm_port_config_phy_oam_set() failed, u=%d, p=%d\n"
0x1134546c    "bcm_port_control_phy_oam_set failed with error                                     u=%d p=%d %s\n"
0x113454d0    "bcm_port_control_phy_oam_set failed with error                                      u=%d p=%d %s\n"
0x113455a0    "bcm_port_control_phy_oam_set failed with error                                  u=%d p=%d %s\n"
0x11345630    "bcm_port_control_phy_oam_get (TxEthertype) failed with error                             u=%d p=%d %s\n"
0x11345698    "bcm_port_control_phy_oam_get (RxEthertype) failed with error                              u=%d p=%d %s\n"
0x11345700    "bcm_port_control_phy_oam_get (TxMACIndex)failed with error                              u=%d p=%d %s\n"
0x11345768    "bcm_port_control_phy_oam_get (RxMACIndex)failed with error                              u=%d p=%d %s\n"
0x113457d0    "bcm_port_control_phy_oam_get (MacAddr1)failed with error                              u=%d p=%d %s\n"
0x11345834    "bcm_port_control_phy_oam_get (MacAddr2)failed with error                              u=%d p=%d %s\n"
0x11345898    "bcm_port_control_phy_oam_get (MacAddr3)failed with error                              u=%d p=%d %s\n"
0x113458fc    "\nPHY OAM TX Config Settings:\n"
0x11345a14    "\nPHY OAM RX Config Settings:\n"
0x11345f90    "ERROR: MII Addr %d: soc_miim_read failed: %s\n"
0x11346040    "phy_reg_data"
0x11346064    "ERROR: MII Addr %d: soc_miim_write failed: %s\n"
0x11346188    "\nERROR: Port %s: soc_miim_read failed: %s\n"
0x11346264    "ERROR: Port %s: soc_miim_write failed: %s\n"
0x11346a9c    "bcm_port_phy_timesync_config_get failed with error u=%d p=%d %s\n"
